candidate_id,candidate_name,email,phone,resume_info,skills
1,Lori Perez,garciajerry@example.com,+1-461-455-3456,Enough involve protect everybody color two democratic. Go and stage today watch.,"JavaScript, Python, SQL"
2,Jason Contreras,emilytorres@example.org,(924)839-4733x5703,Will dark pull ten long name behavior describe. Attack ground one hit. Several center child mean.,"Java, Excel, Power BI"
3,Alexis Hart,shawn03@example.org,315.508.5850,Mr ahead heart. Where will exist window federal.,"Tableau, SQL, JavaScript"
4,Robert Foster,hensleykyle@example.org,682-645-1335x5797,Join sell yourself these conference step tax. Herself simply table prevent world catch together.,"Java, JavaScript, Python"
5,William Skinner,ashley49@example.com,757-726-1423x67813,Inside example instead or. Task town style share soon city. Stay worker nothing partner tree woman.,"JavaScript, Python, Power BI"
6,Carol Donaldson,rebecca04@example.org,398-995-1549x423,"Difficult ago business cup choice. Step value author.
Rest appear interview campaign word.","Java, SQL, Python"
7,Dakota Diaz,oriddle@example.net,(411)944-3805x253,Along political study end kind stand say. Author east threat national. Paper about beyond.,"JavaScript, SQL, Java"
8,Steven David,moorechelsea@example.com,+1-427-226-6787x67235,Professional million discussion. Keep baby kind anything ok.,"Java, SQL, Tableau"
9,Daniel Cruz,sawyerbenjamin@example.org,480.794.1356x11462,Special hard like leave degree cell. Son despite possible goal traditional marriage.,"SQL, Excel, Python"
10,William Francis,carla08@example.net,001-534-749-9231,Person into anyone yeah edge. Brother statement defense.,"Excel, JavaScript, Python"
11,Rebecca Rogers,paul89@example.com,(617)425-3100,Year maybe again really service. Area lay spring usually.,"SQL, Excel, Tableau"
12,Angela Johnson,arussell@example.net,001-367-913-8393x84290,You style wonder issue positive usually picture. Couple activity cell live over north concern.,"SQL, Java, Excel"
13,Jose Moore,norrisjeremy@example.org,(754)837-0990,Career stuff sound father commercial it moment. Meeting doctor edge item week season development.,"Python, SQL, Tableau"
14,Robert Garcia,gallaghermatthew@example.net,+1-983-414-2877x75398,Article usually how treatment. Wish research everybody never. Common same think inside mention.,"Java, Power BI, SQL"
15,Jason Jones,dgarcia@example.com,(537)611-1432,Ball seek program require voice young must. Other similar evening than.,"Tableau, Excel, Power BI"
16,James Thomas,jeffreyking@example.com,761-570-9360,Able case grow give several other white. Send their crime. Fall than help.,"Tableau, SQL, Python"
17,Stephen Lynn,xrandall@example.com,(783)519-2586x88357,Back conference control. However skin source major account available run analysis.,"Tableau, SQL, JavaScript"
